Product Name,Price,Date,Link
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop","71,990",2026-03-27,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODM1ODMzMzI3ODAyOTY1OjE3NzQ3MjI1MDI6c3BfYXRmOjMwMDY0NzIyOTgxOTkzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774722502%26sr%3D8-1-spons%26aref%3DXCvFJyYctD%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=XCvFJyYctD&sp_cr=ZAZ
"HP Smartchoice OmniBook 5 (Previously Pavilion) 50 Tops, AMD Ryzen AI 5 340 (16GB LPDDR5X, 512GB SSD) WUXGA 2K, 16''/40.6cm, Win11, Office24, Silver, 1.79kg, ag1037au, Next Gen AI Copilot+ Laptop","69,990",2026-03-27,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODM1ODMzMzI3ODAyOTY1OjE3NzQ3MjI1MDI6c3BfYXRmOjMwMDkwOTIwNDE4NDAzMjo6MDo6&url=%2FHP-Smartchoice-OmniBook-Previously-Pavilion%2Fdp%2FB0F3HQKGMN%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774722502%26sr%3D8-2-spons%26aref%3DE412mbNVUW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=E412mbNVUW&sp_cr=ZAZ
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 14"", 60Hz,42WHrs, Windows 11, M365 Basic (1Year)*,Office Home 2024, Mixed Black, 1.38 kg, E1404FA-EB774WS, Thin & Light Laptop","43,490",2026-03-27,https://www.amazon.in/ASUS-Vivobook-Windows-Backlit-E1404FA-NK5542WS/dp/B0FN9FV4ZZ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-3
"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","57,990",2026-03-27,https://www.amazon.in/HP-i5-1334U-Microsoft-Graphics-fd0467tu/dp/B0DTK9DZB4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-4
"HP Elite x360 1040 G11 14"" Touchscreen Convertible 2 in 1 Notebook - WUXGA - Intel Core Ultra 7 155H - vPro Technology - 32 GB - 512 GB SSD - English Keyboard - Intel Chip - 1920 x 1200 - Windows 11 P","1,45,990",2026-03-27,https://www.amazon.in/HP-Elite-Touchscreen-Convertible-Notebook/dp/B0DBRHS1ZZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-5
"Dell G15, 13th Gen Intel Core i5-13450HX Processor, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Win 11, MS Office'24, Dark Shadow Grey, 2.65Kg Gaming Laptop","78,990",2026-03-27,https://www.amazon.in/Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_6?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-6
"HP 15, 13th Gen Intel Core i3-1315U, (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD,15.6''/39.6cm, Win11,M365 Basic(1yr),Office24, Silver,1.59kg, fd0572TU, FHD Camera w/Shutter, Backlit Laptop","42,990",2026-03-27,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0572TU/dp/B0F4R6GXWJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-7
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","27,490",2026-03-27,https://www.amazon.in/ASUS-Chromebook-CX1405-Processor-CX1405CTA-S60622/dp/B0GN2Y3T6M/ref=sr_1_8?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-8
"Dell Inspiron 15 DC15250 Laptop (Intel Core 3-100U, 8GB DDR5 RAM, 512GB SSD, 15.6"" Full HD Display, Windows 11 Home, MS Office 2024 + Microsoft 365, Carbon Black, 1 Year NBD Warranty)","45,880",2026-03-27,https://www.amazon.in/Dell-Inspiron-DC15250-Microsoft-Warranty/dp/B0GS2VW9MN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-9
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop","35,499",2026-03-27,https://www.amazon.in/acer-Pentium-LPDDR4X-39-62cm-A325-45/dp/B0GLXWY8ZX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.w2HEJtqmfrtQzRHVp-x3_8F4nrLLfZf4wruJFd6uBdKLycdTeBoaVBryUR3-gIghHY8B_0DO-CB4LQvauYhwV6R7u-gkfB4RLLThDxOBaEISVMl__RkKkkTadva0TYsZvEAzxUUK6YIE9i-0fsEe_Zwegrln2Qapur8eOOfmZAhzWyWYct0RS_dgNc3k7bGmbCKYRDjNc9hW9Y2DmEdZvR_J0_oHcENJh06P70wz_zc.W_BidG-XEhKY-dR6SsWQlb0yADqYHer7_o739DW1SBc&dib_tag=se&keywords=laptop&qid=1774722502&sr=8-10
